ptr_id,year,member,class,source_url
2016-00763,2016,"Privacy Act of 1974, as Amended; System of Records (Notice)",,https://www.federalregister.gov/documents/2016/01/19/2016-00763/privacy-act-of-1974-as-amended-system-of-records
2016-00817,2016,Records Governing Off-the-Record Communications; Public Noti (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00817/records-governing-off-the-record-communications-public-notice
2016-00674,2016,Supplemental Nutrition Assistance Program: Review of Major C (Rule),,https://www.federalregister.gov/documents/2016/01/19/2016-00674/supplemental-nutrition-assistance-program-review-of-major-changes-in-program-design-and-management
2016-00872,2016,Simplification of Disclosure Requirements for Emerging Growt (Rule),,https://www.federalregister.gov/documents/2016/01/19/2016-00872/simplification-of-disclosure-requirements-for-emerging-growth-companies-and-forward-incorporation-by
2016-00842,2016,Annual Update of Filing Fees (Rule),,https://www.federalregister.gov/documents/2016/01/19/2016-00842/annual-update-of-filing-fees
2016-00863,2016,"Safety Zone; RICHLAND, Apra Harbor/Philippine Sea, GU (Rule)",,https://www.federalregister.gov/documents/2016/01/19/2016-00863/safety-zone-richland-apra-harborphilippine-sea-gu
2015-31950,2016,Revitalization of the AM Radio Service (Rule),,https://www.federalregister.gov/documents/2016/01/19/2015-31950/revitalization-of-the-am-radio-service
2016-00853,2016,Department of the Treasury Acquisition Regulation; Correctio (Rule),,https://www.federalregister.gov/documents/2016/01/19/2016-00853/department-of-the-treasury-acquisition-regulation-correction
2016-00770,2016,Pacific Island Fisheries; 2016 Northwestern Hawaiian Islands (Rule),,https://www.federalregister.gov/documents/2016/01/19/2016-00770/pacific-island-fisheries-2016-northwestern-hawaiian-islands-lobster-harvest-guideline
2016-00958,2016,United States Standards for Sunflower Seed (Proposed Rule),,https://www.federalregister.gov/documents/2016/01/19/2016-00958/united-states-standards-for-sunflower-seed
2016-00848,2016,United States Standards for Oats (Proposed Rule),,https://www.federalregister.gov/documents/2016/01/19/2016-00848/united-states-standards-for-oats
2016-00843,2016,Minimum Quality and Handling Standards for Domestic and Impo (Proposed Rule),,https://www.federalregister.gov/documents/2016/01/19/2016-00843/minimum-quality-and-handling-standards-for-domestic-and-imported-peanuts-marketed-in-the-united
2016-00377,2016,Airworthiness Directives; Airbus Defense and Space S.A. (For (Proposed Rule),,https://www.federalregister.gov/documents/2016/01/19/2016-00377/airworthiness-directives-airbus-defense-and-space-sa-formerly-known-as-construcciones-aeronauticas
