id,verify_url
C00279653,https://www.fec.gov/data/committee/C00279653/
C00279901,https://www.fec.gov/data/committee/C00279901/
C00279927,https://www.fec.gov/data/committee/C00279927/
C00280040,https://www.fec.gov/data/committee/C00280040/
C00280537,https://www.fec.gov/data/committee/C00280537/
C00281360,https://www.fec.gov/data/committee/C00281360/
C00281964,https://www.fec.gov/data/committee/C00281964/
C00282210,https://www.fec.gov/data/committee/C00282210/
C00282319,https://www.fec.gov/data/committee/C00282319/
C00282624,https://www.fec.gov/data/committee/C00282624/
C00283051,https://www.fec.gov/data/committee/C00283051/
C00283069,https://www.fec.gov/data/committee/C00283069/
C00283325,https://www.fec.gov/data/committee/C00283325/
C00284174,https://www.fec.gov/data/committee/C00284174/
C00286856,https://www.fec.gov/data/committee/C00286856/
C00287524,https://www.fec.gov/data/committee/C00287524/
C00287847,https://www.fec.gov/data/committee/C00287847/
C00288159,https://www.fec.gov/data/committee/C00288159/
C00288613,https://www.fec.gov/data/committee/C00288613/
C00289983,https://www.fec.gov/data/committee/C00289983/
C00290429,https://www.fec.gov/data/committee/C00290429/
C00290890,https://www.fec.gov/data/committee/C00290890/
C00291922,https://www.fec.gov/data/committee/C00291922/
C00291955,https://www.fec.gov/data/committee/C00291955/
C00292102,https://www.fec.gov/data/committee/C00292102/
C00293076,https://www.fec.gov/data/committee/C00293076/
C00293894,https://www.fec.gov/data/committee/C00293894/
C00295642,https://www.fec.gov/data/committee/C00295642/
C00296624,https://www.fec.gov/data/committee/C00296624/
C00297259,https://www.fec.gov/data/committee/C00297259/
C00298018,https://www.fec.gov/data/committee/C00298018/
C00298141,https://www.fec.gov/data/committee/C00298141/
C00298273,https://www.fec.gov/data/committee/C00298273/
C00298604,https://www.fec.gov/data/committee/C00298604/
C00299842,https://www.fec.gov/data/committee/C00299842/
C00300830,https://www.fec.gov/data/committee/C00300830/
C00301671,https://www.fec.gov/data/committee/C00301671/
C00302414,https://www.fec.gov/data/committee/C00302414/
C00302422,https://www.fec.gov/data/committee/C00302422/
C00302588,https://www.fec.gov/data/committee/C00302588/
C00302711,https://www.fec.gov/data/committee/C00302711/
C00302943,https://www.fec.gov/data/committee/C00302943/
C00303214,https://www.fec.gov/data/committee/C00303214/
C00303743,https://www.fec.gov/data/committee/C00303743/
C00303958,https://www.fec.gov/data/committee/C00303958/
C00304014,https://www.fec.gov/data/committee/C00304014/
C00305029,https://www.fec.gov/data/committee/C00305029/
C00305292,https://www.fec.gov/data/committee/C00305292/
C00305607,https://www.fec.gov/data/committee/C00305607/
C00305656,https://www.fec.gov/data/committee/C00305656/
C00305789,https://www.fec.gov/data/committee/C00305789/
C00305870,https://www.fec.gov/data/committee/C00305870/
C00305979,https://www.fec.gov/data/committee/C00305979/
C00306274,https://www.fec.gov/data/committee/C00306274/
C00306290,https://www.fec.gov/data/committee/C00306290/
C00306613,https://www.fec.gov/data/committee/C00306613/
C00306670,https://www.fec.gov/data/committee/C00306670/
C00306829,https://www.fec.gov/data/committee/C00306829/
C00307405,https://www.fec.gov/data/committee/C00307405/
C00307637,https://www.fec.gov/data/committee/C00307637/
C00308577,https://www.fec.gov/data/committee/C00308577/
C00310136,https://www.fec.gov/data/committee/C00310136/
C00310318,https://www.fec.gov/data/committee/C00310318/
C00311555,https://www.fec.gov/data/committee/C00311555/
C00311852,https://www.fec.gov/data/committee/C00311852/
C00312082,https://www.fec.gov/data/committee/C00312082/
C00313684,https://www.fec.gov/data/committee/C00313684/
C00313734,https://www.fec.gov/data/committee/C00313734/
C00315176,https://www.fec.gov/data/committee/C00315176/
C00315747,https://www.fec.gov/data/committee/C00315747/
C00316307,https://www.fec.gov/data/committee/C00316307/
C00316331,https://www.fec.gov/data/committee/C00316331/
C00316356,https://www.fec.gov/data/committee/C00316356/
C00317479,https://www.fec.gov/data/committee/C00317479/
C00317511,https://www.fec.gov/data/committee/C00317511/
C00317529,https://www.fec.gov/data/committee/C00317529/
C00318519,https://www.fec.gov/data/committee/C00318519/
C00318931,https://www.fec.gov/data/committee/C00318931/
C00319368,https://www.fec.gov/data/committee/C00319368/
C00320044,https://www.fec.gov/data/committee/C00320044/
C00320754,https://www.fec.gov/data/committee/C00320754/
C00321141,https://www.fec.gov/data/committee/C00321141/
C00321505,https://www.fec.gov/data/committee/C00321505/
C00321992,https://www.fec.gov/data/committee/C00321992/
C00323253,https://www.fec.gov/data/committee/C00323253/
C00323311,https://www.fec.gov/data/committee/C00323311/
C00325126,https://www.fec.gov/data/committee/C00325126/
C00325449,https://www.fec.gov/data/committee/C00325449/
C00325704,https://www.fec.gov/data/committee/C00325704/
C00326264,https://www.fec.gov/data/committee/C00326264/
C00326488,https://www.fec.gov/data/committee/C00326488/
C00326629,https://www.fec.gov/data/committee/C00326629/
C00326736,https://www.fec.gov/data/committee/C00326736/
C00326900,https://www.fec.gov/data/committee/C00326900/
C00326918,https://www.fec.gov/data/committee/C00326918/
C00327007,https://www.fec.gov/data/committee/C00327007/
C00327064,https://www.fec.gov/data/committee/C00327064/
C00327122,https://www.fec.gov/data/committee/C00327122/
C00327460,https://www.fec.gov/data/committee/C00327460/
C00327890,https://www.fec.gov/data/committee/C00327890/
C00327924,https://www.fec.gov/data/committee/C00327924/
C00328195,https://www.fec.gov/data/committee/C00328195/
C00328468,https://www.fec.gov/data/committee/C00328468/
C00328799,https://www.fec.gov/data/committee/C00328799/
C00329292,https://www.fec.gov/data/committee/C00329292/
C00329706,https://www.fec.gov/data/committee/C00329706/
C00330019,https://www.fec.gov/data/committee/C00330019/
C00330811,https://www.fec.gov/data/committee/C00330811/
C00331017,https://www.fec.gov/data/committee/C00331017/
C00331363,https://www.fec.gov/data/committee/C00331363/
C00331389,https://www.fec.gov/data/committee/C00331389/
C00331439,https://www.fec.gov/data/committee/C00331439/
C00331744,https://www.fec.gov/data/committee/C00331744/
C00331793,https://www.fec.gov/data/committee/C00331793/
C00331991,https://www.fec.gov/data/committee/C00331991/
C00332478,https://www.fec.gov/data/committee/C00332478/
C00332775,https://www.fec.gov/data/committee/C00332775/
C00332890,https://www.fec.gov/data/committee/C00332890/
C00332999,https://www.fec.gov/data/committee/C00332999/
C00333740,https://www.fec.gov/data/committee/C00333740/
C00334532,https://www.fec.gov/data/committee/C00334532/
C00335109,https://www.fec.gov/data/committee/C00335109/
C00335364,https://www.fec.gov/data/committee/C00335364/
C00335588,https://www.fec.gov/data/committee/C00335588/
C00335695,https://www.fec.gov/data/committee/C00335695/
C00336040,https://www.fec.gov/data/committee/C00336040/
C00336065,https://www.fec.gov/data/committee/C00336065/
C00336297,https://www.fec.gov/data/committee/C00336297/
C00336388,https://www.fec.gov/data/committee/C00336388/
C00336875,https://www.fec.gov/data/committee/C00336875/
C00337451,https://www.fec.gov/data/committee/C00337451/
C00338087,https://www.fec.gov/data/committee/C00338087/
C00338491,https://www.fec.gov/data/committee/C00338491/
C00338954,https://www.fec.gov/data/committee/C00338954/
C00339291,https://www.fec.gov/data/committee/C00339291/
C00339424,https://www.fec.gov/data/committee/C00339424/
C00339473,https://www.fec.gov/data/committee/C00339473/
C00339564,https://www.fec.gov/data/committee/C00339564/
C00339606,https://www.fec.gov/data/committee/C00339606/
C00339937,https://www.fec.gov/data/committee/C00339937/
C00340067,https://www.fec.gov/data/committee/C00340067/
C00340083,https://www.fec.gov/data/committee/C00340083/
C00340372,https://www.fec.gov/data/committee/C00340372/
C00340661,https://www.fec.gov/data/committee/C00340661/
C00340745,https://www.fec.gov/data/committee/C00340745/
C00340828,https://www.fec.gov/data/committee/C00340828/
C00340885,https://www.fec.gov/data/committee/C00340885/
C00341164,https://www.fec.gov/data/committee/C00341164/
C00341529,https://www.fec.gov/data/committee/C00341529/
C00341719,https://www.fec.gov/data/committee/C00341719/
C00341750,https://www.fec.gov/data/committee/C00341750/
C00342238,https://www.fec.gov/data/committee/C00342238/
C00342378,https://www.fec.gov/data/committee/C00342378/
C00342386,https://www.fec.gov/data/committee/C00342386/
C00342436,https://www.fec.gov/data/committee/C00342436/
C00342774,https://www.fec.gov/data/committee/C00342774/
C00343020,https://www.fec.gov/data/committee/C00343020/
C00343095,https://www.fec.gov/data/committee/C00343095/
C00343236,https://www.fec.gov/data/committee/C00343236/
C00343384,https://www.fec.gov/data/committee/C00343384/
C00343392,https://www.fec.gov/data/committee/C00343392/
C00343475,https://www.fec.gov/data/committee/C00343475/
C00343863,https://www.fec.gov/data/committee/C00343863/
C00344374,https://www.fec.gov/data/committee/C00344374/
C00344705,https://www.fec.gov/data/committee/C00344705/
C00345025,https://www.fec.gov/data/committee/C00345025/
C00345033,https://www.fec.gov/data/committee/C00345033/
C00345702,https://www.fec.gov/data/committee/C00345702/
C00345959,https://www.fec.gov/data/committee/C00345959/
C00346346,https://www.fec.gov/data/committee/C00346346/
C00346635,https://www.fec.gov/data/committee/C00346635/
C00346916,https://www.fec.gov/data/committee/C00346916/
C00347310,https://www.fec.gov/data/committee/C00347310/
C00347385,https://www.fec.gov/data/committee/C00347385/
C00347443,https://www.fec.gov/data/committee/C00347443/
C00348003,https://www.fec.gov/data/committee/C00348003/
C00348524,https://www.fec.gov/data/committee/C00348524/
C00349613,https://www.fec.gov/data/committee/C00349613/
C00349639,https://www.fec.gov/data/committee/C00349639/
C00349761,https://www.fec.gov/data/committee/C00349761/
C00349993,https://www.fec.gov/data/committee/C00349993/
C00350108,https://www.fec.gov/data/committee/C00350108/
C00350280,https://www.fec.gov/data/committee/C00350280/
C00350397,https://www.fec.gov/data/committee/C00350397/
C00350462,https://www.fec.gov/data/committee/C00350462/
C00350520,https://www.fec.gov/data/committee/C00350520/
C00350785,https://www.fec.gov/data/committee/C00350785/
C00350918,https://www.fec.gov/data/committee/C00350918/
C00351205,https://www.fec.gov/data/committee/C00351205/
C00351841,https://www.fec.gov/data/committee/C00351841/
C00352849,https://www.fec.gov/data/committee/C00352849/
C00353227,https://www.fec.gov/data/committee/C00353227/
C00353920,https://www.fec.gov/data/committee/C00353920/
C00353953,https://www.fec.gov/data/committee/C00353953/
C00354696,https://www.fec.gov/data/committee/C00354696/
C00355065,https://www.fec.gov/data/committee/C00355065/
C00355388,https://www.fec.gov/data/committee/C00355388/
C00355461,https://www.fec.gov/data/committee/C00355461/
C00355701,https://www.fec.gov/data/committee/C00355701/
C00355784,https://www.fec.gov/data/committee/C00355784/
C00355941,https://www.fec.gov/data/committee/C00355941/
C00356378,https://www.fec.gov/data/committee/C00356378/
C00356741,https://www.fec.gov/data/committee/C00356741/
C00357285,https://www.fec.gov/data/committee/C00357285/
C00357434,https://www.fec.gov/data/committee/C00357434/
C00357723,https://www.fec.gov/data/committee/C00357723/
C00358119,https://www.fec.gov/data/committee/C00358119/
C00358366,https://www.fec.gov/data/committee/C00358366/
C00358606,https://www.fec.gov/data/committee/C00358606/
C00358952,https://www.fec.gov/data/committee/C00358952/
C00359125,https://www.fec.gov/data/committee/C00359125/
C00360222,https://www.fec.gov/data/committee/C00360222/
C00360263,https://www.fec.gov/data/committee/C00360263/
C00360388,https://www.fec.gov/data/committee/C00360388/
C00361063,https://www.fec.gov/data/committee/C00361063/
C00361923,https://www.fec.gov/data/committee/C00361923/
C00362020,https://www.fec.gov/data/committee/C00362020/
C00362384,https://www.fec.gov/data/committee/C00362384/
C00362582,https://www.fec.gov/data/committee/C00362582/
C00363093,https://www.fec.gov/data/committee/C00363093/
C00363150,https://www.fec.gov/data/committee/C00363150/
C00363382,https://www.fec.gov/data/committee/C00363382/
C00363390,https://www.fec.gov/data/committee/C00363390/
C00363689,https://www.fec.gov/data/committee/C00363689/
C00363804,https://www.fec.gov/data/committee/C00363804/
C00363820,https://www.fec.gov/data/committee/C00363820/
C00364067,https://www.fec.gov/data/committee/C00364067/
C00364091,https://www.fec.gov/data/committee/C00364091/
C00364851,https://www.fec.gov/data/committee/C00364851/
C00364935,https://www.fec.gov/data/committee/C00364935/
C00365015,https://www.fec.gov/data/committee/C00365015/
C00365031,https://www.fec.gov/data/committee/C00365031/
C00365072,https://www.fec.gov/data/committee/C00365072/
C00365098,https://www.fec.gov/data/committee/C00365098/
C00365338,https://www.fec.gov/data/committee/C00365338/
C00365528,https://www.fec.gov/data/committee/C00365528/
C00365593,https://www.fec.gov/data/committee/C00365593/
C00365684,https://www.fec.gov/data/committee/C00365684/
C00365692,https://www.fec.gov/data/committee/C00365692/
C00365841,https://www.fec.gov/data/committee/C00365841/
C00366096,https://www.fec.gov/data/committee/C00366096/
C00366179,https://www.fec.gov/data/committee/C00366179/
C00366195,https://www.fec.gov/data/committee/C00366195/
C00366211,https://www.fec.gov/data/committee/C00366211/
C00366401,https://www.fec.gov/data/committee/C00366401/
C00366534,https://www.fec.gov/data/committee/C00366534/
C00366666,https://www.fec.gov/data/committee/C00366666/
C00366740,https://www.fec.gov/data/committee/C00366740/
C00366757,https://www.fec.gov/data/committee/C00366757/
C00366781,https://www.fec.gov/data/committee/C00366781/
C00367110,https://www.fec.gov/data/committee/C00367110/
C00367243,https://www.fec.gov/data/committee/C00367243/
C00367284,https://www.fec.gov/data/committee/C00367284/
C00367524,https://www.fec.gov/data/committee/C00367524/
C00367821,https://www.fec.gov/data/committee/C00367821/
C00367854,https://www.fec.gov/data/committee/C00367854/
C00367920,https://www.fec.gov/data/committee/C00367920/
C00368084,https://www.fec.gov/data/committee/C00368084/
C00368365,https://www.fec.gov/data/committee/C00368365/
C00368431,https://www.fec.gov/data/committee/C00368431/
C00368571,https://www.fec.gov/data/committee/C00368571/
C00368589,https://www.fec.gov/data/committee/C00368589/
C00368985,https://www.fec.gov/data/committee/C00368985/
C00369025,https://www.fec.gov/data/committee/C00369025/
C00369140,https://www.fec.gov/data/committee/C00369140/
C00369348,https://www.fec.gov/data/committee/C00369348/
C00369454,https://www.fec.gov/data/committee/C00369454/
